channel_id,title ,release_date
1,CaseyNeistat,12/15/2010
2,LastWeekTonight,3/18/2014
3,Rudy Mancuso,9/30/2011
4,Good Mythical Morning,9/17/2008
5,nigahiga,7/20/2006
6,iJustine,5/7/2006
7,Saturday Night Live,7/23/2013
8,CrazyRussianHacker,5/18/2012
9,20th Century Fox,7/13/2006
10,Vox,3/4/2014
11,NFL,12/13/2014
12,amc,6/26/2016
13,marshmello,4/6/2015
14,NowThis World,1/23/2013
15,The king of DIY,5/16/2008
16,BostonDynamics,7/6/2008
17,Cracked,2/8/2006
18,TED-Ed,3/1/2011
19,PeterSripol,4/26/2016
